R (ang),V=0,V=1,V=2,V=3,V=4,V=5,V=6,V=7,V=8,V=9,E (wavenumbers),,,,,,,,,,
2.148312,1.19024294,1.57999267,0.21762076,-1.1847435,-0.26175832,1.05647607,-0.04800559,-0.92531469,0.51021324,0.53125261,,,,,,,,,,,
2.153981,1.12049468,1.60250287,0.3932502,-1.1270872,-0.45816116,1.01059636,0.17369735,-0.96567157,0.30269181,0.70138544,,,,,,,,,,,
2.159650,1.05093886,1.61188943,0.56244098,-1.04184195,-0.63974237,0.92414319,0.38712549,-0.95274683,0.0762499,0.82274601,,,,,,,,,,,
2.165319,0.9820916,1.60888414,0.72269903,-0.93161334,-0.80094087,0.8010452,0.58228214,-0.88772396,-0.15493543,0.88729825,,,,,,,,,,,
2.170988,0.91442217,1.5943536,0.87185364,-0.799529,-0.93703438,0.64659716,0.75024985,-0.77461601,-0.37662335,0.89104045,,,,,,,,,,,
2.176657,0.84834971,1.56927284,1.00808599,-0.64911991,-1.04426332,0.46718986,0.88358627,-0.61996447,-0.57539888,0.8341929,,,,,,,,,,,
2.182326,0.78424115,1.53469864,1.12994617,-0.48419671,-1.11991188,0.27000571,0.97662988,-0.4324065,-0.73948087,0.72108449,,,,,,,,,,,
2.187995,0.72241024,1.49174324,1.23635903,-0.30872583,-1.16234585,0.06269617,1.02570434,-0.22214164,-0.8593994,0.55975744,,,,,,,,,,,
2.193664,0.66311775,1.44154913,1.3266198,-0.1267097,-1.1710086,-0.1469434,1.02921634,-0.00033364,-0.92850479,0.36132924,,,,,,,,,,,
2.199333,0.60657255,1.38526545,1.40038029,0.05792528,-1.14637841,-0.3512866,0.98764811,0.22151516,-0.94328362,0.13916632,,,,,,,,,,,
2.205002,0.55293351,1.32402649,1.45762711,0.24142963,-1.08989164,-0.54316349,0.90345106,0.4321801,-0.90347087,-0.0920651,,,,,,,,,,,
2.210671,0.5023122,1.25893254,1.4986531,0.42031818,-1.00383745,-0.71611175,0.78085193,0.62128701,-0.81196108,-0.31740032,,,,,,,,,,,
2.216340,0.45477617,1.19103353,1.52402381,0.59144232,-0.89123031,-0.8645831,0.62558661,0.77981224,-0.67453434,-0.5225589,,,,,,,,,,,
2.222009,0.41035261,1.1213154,1.53454008,0.75204588,-0.75566703,-0.98409947,0.44457939,0.90048676,-0.4994236,-0.69484335,,,,,,,,,,,
2.227678,0.36903241,1.05068937,1.53119863,0.89980453,-0.60117498,-1.0713559,0.2455868,0.97808795,-0.29675804,-0.82389785,,,,,,,,,,,
2.233347,0.33077436,0.97998384,1.51515151,1.03284893,-0.43205791,-1.12427005,0.03682575,1.00961061,-0.0779229,-0.90228353,,,,,,,,,,,
2.239016,0.2955094,0.90993902,1.48766606,1.14977248,-0.25274537,-1.14198049,-0.17339537,0.99431559,0.14512125,-0.92584242,,,,,,,,,,,
2.244685,0.2631449,0.84120401,1.45008625,1.2496249,-0.06765088,-1.12479824,-0.37702536,0.93366188,0.36051737,-0.89383771,,,,,,,,,,,
2.250354,0.23356877,0.77433607,1.4037964,1.33189351,0.11895677,-1.0741174,-0.56658398,0.83113357,0.55714955,-0.80887373,,,,,,,,,,,
2.256023,0.20665345,0.70980197,1.35018797,1.39647402,0.30306569,-0.9922923,-0.73542921,0.69197813,0.72520514,-0.67661357,,,,,,,,,,,
2.261692,0.18225959,0.64798094,1.29063007,1.44363283,0.48101426,-0.88248919,-0.87796946,0.52287593,0.85663447,-0.50532399,,,,,,,,,,,
2.267361,0.16023954,0.58916915,1.22644402,1.47396326,0.64956425,-0.7485207,-0.98981595,0.33156281,0.94548906,-0.30528665,,,,,,,,,,,
2.273030,0.14044045,0.53358524,1.15888206,1.48833745,0.80595326,-0.59467141,-1.06787349,0.12642823,0.98812796,-0.08812025,,,,,,,,,,,
2.278699,0.12270705,0.48137672,1.08911045,1.48785621,0.94792702,-0.42552218,-1.11037117,-0.08388925,0.98329029,0.13393932,,,,,,,,,,,
2.284368,0.10688409,0.43262696,1.01819659,1.47379837,1.07375244,-0.24578021,-1.11683702,-0.2908891,0.93203969,0.34875469,,,,,,,,,,,
2.290038,0.09281844,0.38736241,0.9471002,1.44757135,1.18221334,-0.06012081,-1.08802303,-0.48656137,0.83759343,0.54495614,,,,,,,,,,,
2.295707,0.08036082,0.34556009,0.8766681,1.41066428,1.27259095,0.12695433,-1.02578835,-0.66369082,0.70505409,0.71252792,,,,,,,,,,,
2.301376,0.06936726,0.30715484,0.80763229,1.3646047,1.34463153,0.31123879,-0.93294977,-0.81610237,0.54106558,0.84328368,,,,,,,,,,,
2.307045,0.05970018,0.27204645,0.740611,1.3109197,1.39850391,0.4889207,-0.81310906,-0.93884192,0.35341757,0.93121169,,,,,,,,,,,
2.312714,0.0512293,0.24010642,0.67611207,1.25110218,1.4347496,0.65665838,-0.6704666,-1.02829009,0.15062291,0.97267991,,,,,,,,,,,
2.318383,0.04383222,0.21118423,0.61453857,1.18658246,1.45422813,0.81163259,-0.50963042,-1.08221015,-0.05850844,0.96650052,,,,,,,,,,,
2.324052,0.03739479,0.18511315,0.55619588,1.11870532,1.45805995,0.95157613,-0.33542873,-1.09973429,-0.26527728,0.91386095,,,,,,,,,,,
2.329721,0.03181131,0.16171539,0.50129983,1.04871227,1.44756891,1.0747824,-0.15273299,-1.08129486,-0.46146653,0.81813597,,,,,,,,,,,
2.335390,0.02698452,0.14080663,0.44998572,0.97772882,1.42422636,1.18009526,0.03370272,-1.02850905,-0.63966108,0.68460062,,,,,,,,,,,
2.341059,0.02282553,0.12220005,0.40231757,0.9067564,1.38959816,1.26688282,0.21938158,-0.94402674,-0.79350569,0.52006756,,,,,,,,,,,
2.346728,0.0192535,0.10570957,0.35829761,0.83666841,1.3452961,1.33499805,0.40018017,-0.831352,-0.91789431,0.33247437,,,,,,,,,,,
2.352397,0.01619539,0.09115272,0.31787556,0.76820995,1.29293441,1.38472924,0.57243918,-0.69464837,-1.0090886,0.13044658,,,,,,,,,,,
2.358066,0.0135855,0.07835284,0.28095757,0.70200073,1.23409207,1.41674333,0.73302833,-0.53853801,-1.06476717,-0.07713883,,,,,,,,,,,
2.363735,0.01136509,0.06714084,0.24741462,0.63854033,1.17028114,1.43202481,0.87938612,-0.36790357,-1.08400983,-0.28156753,,,,,,,,,,,
2.369404,0.00948186,0.05735649,0.21709028,0.57821555,1.102921,1.43181273,1.00953591,-0.18770067,-1.06722457,-0.47466061,,,,,,,,,,,
2.375073,0.00788947,0.04884934,0.18980779,0.52130922,1.03331876,1.41753826,1.12208072,-0.00278752,-1.01602622,-0.64909142,,,,,,,,,,,
2.380742,0.00654706,0.04147931,0.16537638,0.46801014,0.9626554,1.39076494,1.21617974,0.18222352,-0.93307779,-0.79863659,,,,,,,,,,,
2.386411,0.00541875,0.035117,0.14359685,0.4184236,0.89197722,1.3531331,1.29150978,0.36308905,-0.82190527,-0.91835544,,,,,,,,,,,
2.392080,0.0044732,0.02964368,0.12426635,0.37258224,0.82219202,1.30630968,1.34821498,0.53603085,-0.68669703,-1.00469676,,,,,,,,,,,
2.397749,0.0036831,0.02495119,0.10718245,0.33045671,0.75406939,1.25194424,1.38684824,0.6978046,-0.53209804,-1.05553534,,,,,,,,,,,
2.403418,0.00302479,0.02094162,0.09214647,0.2919661,0.68824449,1.1916318,1.40830757,0.84574225,-0.36300839,-1.07014409,,,,,,,,,,,
2.409087,0.00247785,0.01752685,0.07896616,0.25698774,0.62522457,1.12688243,1.41377015,0.9777696,-0.1843937,-1.04911,,,,,,,,,,,
2.414756,0.0020247,0.01462806,0.0674578,0.22536636,0.56539778,1.05909791,1.40462724,1.092402,-0.00111408,-0.99420404,,,,,,,,,,,
2.420425,0.00165031,0.0121751,0.05744771,0.1969224,0.50904357,0.98955494,1.38242158,1.18872141,0.1822241,-0.90821601,,,,,,,,,,,
2.426094,0.00134183,0.01010591,0.04877334,0.17145944,0.45634398,0.91939415,1.34878929,1.26633796,0.36139048,-0.79476517,,,,,,,,,,,
